STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,063245,16755,1.68,6.32,9.99,10.73,23.2,44.7,0.44,8.18,13.12,13.99,14.13,1.63,0,0,3.69,19.2,56.4,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,063246,17825,1.36,1.43,1.43,1.43,23.2,44.7,9.31,10.79,10.82,10.82,10.82,0.28,0,0,3.69,19.2,56.4,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,063247,18901,1.48,3.30,4.71,4.99,23.2,44.7,5.92,9.79,11.70,12.04,12.09,0.68,0,0,3.69,19.2,56.3,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,063248,19969,1.42,2.45,3.21,3.36,23.2,44.7,7.48,10.25,11.30,11.48,11.51,0.57,0,0,3.69,19.2,56.3,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,063249,21038,1.41,2.42,3.18,3.33,23.2,44.6,7.40,10.15,11.18,11.36,11.39,0.57,0,0,3.69,19.2,56.3,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,063251,22107,1.38,2.20,2.79,2.91,23.3,44.6,7.65,10.12,10.94,11.09,11.11,0.58,0,0,3.69,19.3,56.3,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,063252,23179,1.37,2.30,2.99,3.13,23.3,44.6,7.34,9.94,10.89,11.06,11.09,0.59,0,0,3.69,19.3,56.2,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,063253,24247,1.35,2.26,2.94,3.07,23.3,44.6,7.20,9.76,10.69,10.85,10.88,0.59,0,0,3.69,19.3,56.2,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,063254,25314,1.31,1.91,2.33,2.42,23.3,44.6,7.73,9.84,10.43,10.53,10.55,0.59,0,0,3.69,19.3,56.2,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,063255,26388,1.29,1.87,2.29,2.37,23.3,44.6,7.59,9.66,10.24,10.35,10.36,0.59,0,0,3.69,19.3,56.2,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,063256,27455,1.26,1.83,2.23,2.31,23.3,44.6,7.41,9.43,9.99,10.09,10.11,0.59,0,0,3.69,19.3,56.2,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,063257,28522,1.22,1.72,2.07,2.14,23.3,44.6,7.33,9.22,9.71,9.80,9.81,0.59,0,0,3.69,19.3,56.2,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,063258,29598,1.18,1.67,2.01,2.08,23.3,44.6,7.11,8.94,9.41,9.50,9.51,0.59,0,0,3.69,19.3,56.2,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211007,063259,30670,1.07,1.14,1.14,1.14,23.3,44.6,7.38,8.55,8.57,8.58,8.58,0.55,0,0,3.69,19.3,56.2,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211007,063300,31746,1.05,1.11,1.11,1.11,23.3,44.6,7.19,8.33,8.35,8.36,8.36,0.49,0,0,3.69,19.3,56.2,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211007,063301,32822,1.02,1.08,1.08,1.08,23.3,44.6,7.01,8.12,8.14,8.15,8.15,0.53,0,0,3.69,19.3,56.2,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211007,063302,33898,0.99,1.05,1.05,1.05,23.4,44.6,6.80,7.87,7.89,7.90,7.90,0.53,0,0,3.69,19.4,56.2,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211007,063304,34971,0.95,1.01,1.01,1.01,23.4,44.6,6.55,7.59,7.61,7.61,7.62,0.53,0,0,3.69,19.4,56.2,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211007,063305,36047,0.92,0.98,0.98,0.98,23.4,44.6,6.34,7.34,7.36,7.36,7.37,0.54,0,0,3.69,19.4,56.2,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211007,063306,37124,0.89,0.94,0.94,0.94,23.4,44.7,6.10,7.07,7.09,7.09,7.09,0.54,0,0,3.69,19.4,56.3,31A
