,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,order index
,mean,median,mode,min,max,x_range,sample_std,CI95,CV,standard_error,
Station,,,,,,,,,,,
Abrahamsberg,4.55530303030303,2.426,1.005,1.005,14.658333333333331,13.653333333333332,4.3969128828065145,2.5984094659611148,0.9652295036262432,1.325719115286283,4
Alvik,4.524066666666668,2.968,1.088,1.088,13.996666666666668,12.908666666666669,3.561150416328872,1.5607429841665545,0.7871569273210397,0.7962974409013034,6
Angbyplan,5.159,5.159,2.238,2.238,8.08,5.8420000000000005,4.13091781569181,5.725159999999999,0.8007206465772069,2.9209999999999994,1
Brommaplan,4.336151515151514,2.265,1.535,1.535,11.628333333333332,10.093333333333332,3.7461385492668353,2.213826411089511,0.8639316537203466,1.1295032709640362,3
Fridhemsplan,18.8846,18.566666666666663,10.228,10.228,33.31400000000001,23.086000000000006,4.830008225387401,2.116844437874473,0.25576439137643375,1.0800226723849353,9
Gamla Stan,8.304176470588235,7.250000000000001,3.895,3.895,16.252,12.357,4.2170727062699935,2.0046691146921516,0.5078255166187806,1.022790364638853,15
Gullmarsplan,4.4189375,3.7292500000000004,0.46,0.46,10.778,10.318,2.9371158389462426,1.4391867610836588,0.6646656213051763,0.7342789597365607,19
Hötorget,35.500708333333336,36.01583333333333,25.032,25.032,44.035,19.002999999999997,5.38708725685439,2.6396727558586512,0.1517459090188404,1.3467718142135976,13
Islandstorget,4.846916666666666,3.883,1.0333333333333332,1.0333333333333332,10.588333333333331,9.554999999999998,4.103317838900251,4.0212514821222465,0.8465831210013758,2.0516589194501256,0
Kristineberg,4.765816666666668,3.004,1.17,1.17,13.496666666666664,12.326666666666664,3.6844745766717337,1.6147921805023204,0.7731045557085495,0.8238735614807757,7
Medborgarplatsen,18.011764705882356,18.538,13.49,13.49,24.53,11.040000000000001,2.7729884376254166,1.3181950285184894,0.1539542894827958,0.6725484839380048,17
Odenplan,27.442629629629636,28.098000000000003,19.344999999999995,19.344999999999995,32.89,13.545000000000005,3.7518012896979136,1.4151876099080092,0.13671435064105947,0.7220344948510251,11
Rådmansgatan,29.900803921568627,27.435,21.256,21.256,60.045,38.789,9.686051922817235,4.604456808180312,0.32393951507873353,2.349212657234853,12
Skanstull,14.960401960784312,13.176000000000002,9.071666666666667,9.071666666666667,27.986666666666668,18.915,4.697332066752694,2.232969922873626,0.31398434875385073,1.1392703688130745,18
Slussen,22.36811111111111,21.095,9.413333333333332,9.413333333333332,36.315,26.901666666666664,8.447145945476674,3.902382330749751,0.3776423455479282,1.991011393239669,16
St Eriksplan,25.08343333333333,25.514666666666663,16.004,16.004,29.46,13.456,3.2084680921345647,1.4061731404997813,0.1279118392405571,0.7174352757651945,10
Stora mossen,4.506848484848485,2.5940000000000003,0.87,0.87,12.31,11.440000000000001,3.9353690420302008,2.3256544860935735,0.8731975470798423,1.1865584112722314,5
T-Centralen,31.04938235294118,31.975,19.486,19.486,38.4725,18.986499999999996,4.736790783092928,2.2517274059578174,0.15255668306858386,1.1488405132437844,14
Thorildsplan,4.536794117647059,2.64,1.026,1.026,14.47,13.444,3.6024731712748257,1.7125070412526504,0.7940570098303679,0.8737280822717605,8
Åkeshov,3.8469259259259254,2.448,1.0933333333333335,1.0933333333333335,10.6,9.506666666666666,3.381522272988313,2.2092612183523643,0.8790193359843306,1.1271740909961043,2
