,station,mean sensor std,CI95,order
0,Gamla Stan,1.0356770769045929,0.10836101649146561,15
1,Gullmarsplan,0.5459752372580516,0.07189247879973648,19
2,Hötorget,3.934129037012921,0.405267447698661,13
3,Medborgarplatsen,1.84452342357095,0.17965773021106915,17
4,Odenplan,2.5670565725150607,0.22219242916784784,11
5,Rådmansgatan,2.7477221127870792,0.29075180789406097,12
6,Skanstull,1.647638757654741,0.15525671305266828,18
7,Slussen,2.56654831422511,0.27759351554816447,16
8,T-Centralen,3.3616001158836153,0.33843963303685387,14
9,Abrahamsberg,0.6452188748358337,0.057234399270204864,4
10,Alvik,0.4653811976894204,0.05089201206743329,6
11,Brommaplan,0.35602762123066894,0.0351405361675535,3
12,Fridhemsplan,2.037217612541777,0.21816695492061525,9
13,Islandstorget,0.5685371026362167,0.1699552808496293,0
14,Kristineberg,0.5585871892508458,0.05368488393866633,7
15,St Eriksplan,2.7542180897136963,0.33204958616127395,10
16,Stora mossen,0.3865740348966942,0.0438047852563927,5
17,Thorildsplan,0.5031359257010344,0.05756323127478142,8
18,Åkeshov,0.41329653751626294,0.039030853798288884,2
19,Angbyplan,0.3856565659485699,0.04756045445527338,1
