,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
,Q1,Q2,Q3,IQR,lowerLimit,upperLimit,outliers,prcnt_outliers,count
Station,,,,,,,,,
Abrahamsberg,1.6236666666666668,2.426,6.35,4.726333333333333,-5.465833333333332,13.439499999999999,1.0,9.090909090909092,11
Alvik,2.3770000000000002,2.968,5.495,3.118,-2.2999999999999994,10.172,3.0,15.0,20
Angbyplan,3.6985,5.159,6.6195,2.9210000000000003,-0.6830000000000007,11.001000000000001,0.0,0.0,2
Brommaplan,1.8289999999999997,2.265,6.1674999999999995,4.3385,-4.67875,12.675249999999998,0.0,0.0,11
Fridhemsplan,16.073999999999998,18.566666666666663,21.75458333333333,5.680583333333331,7.553125000000001,30.275458333333326,1.0,5.0,20
Gamla Stan,4.16,7.250000000000001,12.84,8.68,-8.86,25.86,0.0,0.0,17
Gullmarsplan,2.8571249999999995,3.7292500000000004,5.646666666666667,2.789541666666668,-1.3271875000000022,9.830979166666669,2.0,12.5,16
Hötorget,31.701,36.01583333333333,39.286125,7.585124999999998,20.323312500000004,50.66381249999999,0.0,0.0,16
Islandstorget,2.6028333333333333,3.883,6.127083333333333,3.52425,-2.6835416666666663,11.413458333333333,0.0,0.0,4
Kristineberg,2.064,3.004,6.47875,4.41475,-4.5581249999999995,13.100874999999998,1.0,5.0,20
Medborgarplatsen,15.775,18.538,19.388,3.6130000000000013,10.3555,24.807500000000005,0.0,0.0,17
Odenplan,24.75733333333333,28.098000000000003,30.33416666666667,5.576833333333337,16.392083333333325,38.69941666666667,0.0,0.0,27
Rådmansgatan,22.42,27.435,32.61000000000001,10.190000000000005,7.1349999999999945,47.89500000000001,1.0,5.88235294117647,17
Skanstull,12.24,13.176000000000002,15.735,3.494999999999999,6.997500000000001,20.9775,2.0,11.76470588235294,17
Slussen,15.862499999999999,21.095,29.463125,13.600625000000003,-4.538437500000006,49.8640625,0.0,0.0,18
St Eriksplan,23.4875,25.514666666666663,27.202,3.714500000000001,17.91575,32.77375000000001,1.0,5.0,20
Stora mossen,1.7133333333333334,2.5940000000000003,6.8875,5.174166666666666,-6.047916666666666,14.64875,0.0,0.0,11
T-Centralen,27.683333333333337,31.975,34.07,6.386666666666663,18.103333333333342,43.64999999999999,0.0,0.0,17
Thorildsplan,2.17,2.64,6.417999999999999,4.247999999999999,-4.201999999999999,12.79,1.0,5.88235294117647,17
Åkeshov,1.494,2.448,5.02,3.526,-3.795,10.309,1.0,11.11111111111111,9
